zip_code;label
98742;aakapa
64460;aast
55130;abainville
59268;abancourt
60220;abancourt
55400;abaucourt hautecourt
55400;abaucourt hautecourt
54610;abaucourt sur seille
25320;abbans dessous
25440;abbans dessus
44170;abbaretz
2300;abbecourt
60430;abbecourt
25340;abbenans
80100;abbeville
91150;abbeville la riviere
54800;abbeville les conflans
60480;abbeville st lucien
25310;abbevillers
34290;abeilhan
70300;abelcourt
64160;abere
39500;abergement la ronce
39600;abergement le grand
39800;abergement le petit
39110;abergement les thesy
64150;abidos
37160;abilly
64390;abitain
24300;abjat sur bandiat
62153;ablain st nazaire
80320;ablaincourt pressoir
62116;ablainzevelle
51240;ablancourt
95450;ableiges
78660;ablis
14600;ablon
94480;ablon sur seine
42380;aboen
57920;aboncourt
54115;aboncourt
70500;aboncourt gesincourt
57590;aboncourt sur seille
74360;abondance
28410;abondant
64360;abos
57560;abreschviller
3200;abrest
5460;abries ristolas
5460;abries ristolas
59215;abscon
16500;abzac
33230;abzac
25250;accolans
7160;accons
64490;accous
57340;achain
57412;achen
67204;achenheim
18250;acheres
78260;acheres
77760;acheres la foret
2800;achery
80560;acheux en amienois
80210;acheux en vimeu
62320;acheville
70180;achey
62217;achicourt
62121;achiet le grand
62121;achiet le petit
58110;achun
60690;achy
35690;acigne
27800;aclou
27570;acon
97630;acoua
62144;acq
27400;acquigny
27400;acquigny
62380;acquin westbecourt
62380;acquin westbecourt
2200;acy
60620;acy en multien
8300;acy romance
57580;adaincourt
78113;adainville
25360;adam les passavant
25530;adam les vercel
67320;adamswiller
65260;adast
65100;ade
57380;adelange
70200;adelans et le val de bithaine
65240;adervielle pouchergues
65240;adervielle pouchergues
79200;adilly
62116;adinfer
34230;adissan
45230;adon
86430;adriers
20167;afa
98719;afaahiti
98728;afareaitu
19260;affieux
54800;affleville
69170;affoux
54740;affracourt
62380;affringues
31230;agassac
34300;agde
34300;agde
34210;agel
47000;agen
12630;agen d aveyron
21700;agencourt
80370;agenville
80150;agenvillers
52340;ageville
21410;agey
20270;aghione
54770;agincourt
47350;agme
47800;agnac
43100;agnat
50180;agneaux
60600;agnetz
62161;agnez les duisans
2340;agnicourt et sechelles
62690;agnieres
38150;agnin
64400;agnos
62217;agny
50230;agon coutainville
24460;agonac
34190;agones
3210;agonges
